File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::releaseDB(),6,6,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::getStatement(Tokenizer &aTokenizer),21,21,17,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::loadDatabase(const std::string &aName) const,9,9,8,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::createDatabase(const std::string &aName),27,12,12,3,9,2,6,67,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::dropDatabase(const std::string &aName),13,11,12,3,2,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::describeDatabase(const std::string &aName) const,7,7,8,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::showDatabases() const,8,7,8,1,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::useDatabase(const std::string &aName),16,9,10,3,3,0,4,40,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,DBManager::interpret(const Statement &aStatement),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::hashString(const char *str),6,6,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getHash(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::Entity(std::string aName),2,2,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::Entity(const Entity &aCopy),1,1,1,0,0,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"Entity::Entity(Block &aBlock, uint32_t aBlockNum)",27,17,16,2,4,0,6,62,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::Entity(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::~Entity(),4,4,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getPrimaryKey(),6,6,4,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getNextAutoIncrementValue(),3,3,3,1,0,1,0,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::each(attribute_callback aCallback) const,4,4,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::markDirty(bool aState),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"Entity::addAttribute(std::string aName, DataType aType, uint8_t aSize, bool autoIncr)",7,7,7,2,0,1,0,1,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::addAttribute(const Attribute &anAttribute),9,7,7,2,0,0,2,22,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getAttribute(const std::string &aName),7,7,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getDefaultValue(const Attribute &anAttribute),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::operator Block(),17,12,11,3,3,0,2,15,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::validate(const KeyValues &aList),13,13,12,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"Entity::encodeData(KeyValues &aDataList, Block &aBlock)",4,3,5,1,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"inGivenFields(const std::string &aFieldName, const StringList &aFields)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,"Entity::decodeData(const Block &aBlock, KeyValues &aValuesList, const StringList *aFields) const",6,3,4,1,2,0,1,8,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::loadIndices(Storage &aStorage),19,15,16,3,1,3,3,50,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::writeIndices(Storage &aStorage),17,13,11,4,1,0,3,38,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::dropIndices(Storage &aStorage),5,5,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::getIndex(const std::string &aFieldName),5,5,4,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,Entity::dumpDebug(),2,1,1,0,0,0,1,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\EntityDescriptionView.cpp,EntityDescriptionView::EntityDescriptionView(const Entity &anEntity),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\EntityDescriptionView.cpp,stream(nullptr),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\EntityDescriptionView.cpp,EntityDescriptionView::show(std::ostream &anOutput),21,13,12,2,6,1,2,30,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Expression::operator()(KeyValues &aList),32,25,16,4,6,0,1,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::Filters(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::Filters(const Filters &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::~Filters(),4,4,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::getCount() const,1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::add(Expression *anExpression),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filters::matches(KeyValues &aList) const,7,7,5,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filtered::Filtered(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,Filtered::~Filtered(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,isValidOperandType(TokenType aType),8,8,5,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,"parseOperand(Tokenizer &aTokenizer, Entity &anEntity, Operand &anOperand)",21,21,18,2,0,2,0,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,"validateOperands(Operand &aLHS, Operand &aRHS, Entity &anEntity)",12,12,10,4,0,1,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,"Filtered::parseExpression(Tokenizer &aTokenizer, Entity &anEntity)",30,28,23,7,2,5,0,13,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,"Filtered::parseFilters(Tokenizer &aTokenizer, Entity &anEntity)",14,13,11,5,1,1,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\FolderReader.cpp,"hasExtension(const std::string &aFilename, const char *anExtension)",10,10,8,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\FolderReader.cpp,FolderReader::factory(const char *aPath),12,12,7,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\FolderReader.cpp,FolderReader::exists(const std::string &aFilePath),6,6,5,3,0,0,0,0,
