Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,46,7075,4723,3230,759,1343,261,1009,5954,309,729
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean,46,7075,4723,3230,759,1343,261,1009,5954,309,729
